trabalhoCompletoEmCongresso	Iara Augustin	2009		Ferramenta para a Programação pelo Usuário-Final de Tarefas Clínicas em um Ambiente de Saúde Ubíquo	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS	SILVA, Fábio Lorenzi da ; FERREIRA, Giuliano Lopes ; Librelotto, G. R. ; AUGUSTIN, I.	Qualis nao identificado	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS
trabalhoCompletoEmCongresso	Iara Augustin	2009		Uma Contribuição à Usabilidade da Sensibilidade ao Contexto na Computação Pervasiva	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS	LOPES, João Ladislau ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	Qualis nao identificado	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS
trabalhoCompletoEmCongresso	Iara Augustin	2009		Adaptando o Middleware EXEHDA para o Tratamento de Atividades Clínicas	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS	FERREIRA, Giuliano Lopes ; SILVA, Fábio Lorenzi da ; Librelotto, G. R. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	Qualis nao identificado	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS
trabalhoCompletoEmCongresso	Iara Augustin	2009		A Definição de uma API para o Processamento de Ontologias em Hospitais Pervasivo	V Simpósio Brasileiro de Sistemas de Informação	Librelotto, G. R. ; GASSEN, J. B. ; FREITAS, L. ; SILVA, Fábio Lorenzi da ; AUGUSTIN, I.	B4	Simpósio Brasileiro de Sistemas de Informação
trabalhoCompletoEmCongresso	Iara Augustin	2009		Um Compilador para a Linguagem Reativa Síncrona Distribuída	SBLP - Co-located workshop LTPD 2009	Librelotto, G. R. ; VIZZOTTO, J. K. ; AUGUSTIN, I.	Qualis nao identificado	SBLP - Co-located workshop LTPD 2009
trabalhoCompletoEmCongresso	Iara Augustin	2009		Middleware for management of end-user programming of clinical activities in a pervasive environment	Workshop on Middleware to Pervasive and Ubiquitous Computing - co-locateed with COMSWARE	AUGUSTIN, I. ; SILVA, Fábio Lorenzi da ; FERREIRA, Giuliano Lopes ; Librelotto, G. R. ; YAMIN, Adenauer Correa	Qualis nao identificado	Workshop on Middleware to Pervasive and Ubiquitous Computing - co-locateed with COMSWARE
trabalhoCompletoEmCongresso	Iara Augustin	2009		Uma Arquitetura de Reserva Antecipada de Recursos Centrada no Usuário para Ambientes de Grades Móveis	8th International Information and Telecommunication Technologies Symposium	ROCHA, Cristiano Cortez da ; DANTAS, M. ; AUGUSTIN, I.	B4	Information and Telecommunication Technologies
trabalhoCompletoEmCongresso	Iara Augustin	2008		A Semantica Formal da Linguagem RS	Simposio Nacional de Linguagens de Programação	Librelotto, G. R. ; AUGUSTIN, I.	B3	Simpósio Brasileiro de Linguagens de Programação
trabalhoCompletoEmCongresso	Iara Augustin	2008		Geracao de Topic Maps Dirigidos por Ontologia para Computação Sensivel ao Contexto	Conferencia Iberica de Sistemas y Tecnologias de la Informacion	Librelotto, G. R. ; GASSEN, J. B. ; AUGUSTIN, I.	Qualis nao identificado	Conferencia Iberica de Sistemas y Tecnologias de la Informacion
trabalhoCompletoEmCongresso	Iara Augustin	2008		Uma Ontologia Aplicada a um Ambiente Pervasivo Hospitalar	8ª Conferência da Associação Portuguesa de Sistemas de Informação	Librelotto, G. R. ; GASSEN, J. B. ; SILVA, Fábio Lorenzi da ; AUGUSTIN, I. ; HENRIQUES, P. R.	Qualis nao identificado	8ª Conferência da Associação Portuguesa de Sistemas de Informação
trabalhoCompletoEmCongresso	Iara Augustin	2008		GERAÇÃO DE TOPIC MAPS DIRIGIDOS POR ONTOLOGIAS PARA A COMPUTAÇÃO SENSÍVEL AO CONTEXTO	3ª Conferencia Ibérica de Sistemas y Tecnologías de la Información	Librelotto, G. R. ; GASSEN, J. B. ; HENRIQUES, P. R. ; COPPETTI, M. ; FREITAS, L. ; AUGUSTIN, I.	Qualis nao identificado	3ª Conferencia Ibérica de Sistemas y Tecnologías de la Información
trabalhoCompletoEmCongresso	Iara Augustin	2007		Context-Aware Model in a Ubiquitous Learning Environment	Workshop on Pervasive Learning (Joint to PerCom 2007) - PerEL	Nino, C. P. ; MARQUES, J. ; SILVA, Luciano Cavalheiro da ; BARBOSA, Debora Nice Ferrari ; BARBOSA, Jorge V ; AUGUSTIN, I.	Qualis nao identificado	Workshop on Pervasive Learning (Joint to PerCom 2007) - PerEL
trabalhoCompletoEmCongresso	Iara Augustin	2007		Utilizando a Adaptação para permitir acesso a Arquivos em um Ambiente Pervasivo	XXXIII Conferencia Latinoamericana de Informática	FRAINER, Gustavo ; SILVA, Luciano Cavalheiro da ; GEYER, Cláudio F R ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	B4	Conferencia Latinoamericana de Informática
